Data Source,World Development Indicators,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Last Updated Date,4/8/26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
Bangladesh,BGD,"School enrollment, primary (% gross)",SE.PRM.ENRR,,,,,,,,,,,53.3235817,49.65282059,62.13032913,73.66098785,71.53740692,75.48896027,76.74797058,71.06517029,68.65529633,66.49330139,64.19300842,62.35279083,63.54652023,64.53592682,63.82144928,62.44218826,62.46654129,61.75057983,72.72724152,72.56128693,75.41544342,,,,,,,,,,,,,,,96.38683319,95.87660217,93.66235352,90.37822723,92.59367371,94.77622612,,,,,,,105.1288204,107.1899577,,110.0666199,106.3348491,107.8020668,103.1164214,106.4913104,
Bulgaria,BGR,"School enrollment, primary (% gross)",SE.PRM.ENRR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,105.3392563,109.6469879,111.6944885,111.7512283,110.920433,108.8231888,106.1049728,104.1575623,102.0619125,101.4006195,101.1202698,100.3630829,98.79118347,99.2496109,99.12722015,98.0771637,97.59429932,96.79232025,96.43988037,96.54376221,95.61109924,95.88851929,95.42321777,95.27642059,
Bahrain,BHR,"School enrollment, primary (% gross)",SE.PRM.ENRR,,,,,,,,,,,,96.47119904,96.21073914,96.36692047,97.8332901,102.8709793,104.9384689,106.8390732,107.3379822,108.0913086,105.5379715,99.41725922,96.48490906,95.40972137,99.9048996,102.2440033,104.475708,105.0525436,106.1253433,106.0762329,101.89785,99.72447205,93.73322296,93.23391724,93.22799683,94.86517334,95.09860229,95.90966797,97.35122681,99.07678223,98.87789154,98.28694153,96.79834747,95.42604828,95.1497879,95.14775085,101.9174576,,,,,96.11959419,101.8032228,107.464276,104.3695128,100.2370155,99.89685914,98.73617555,96.83861516,96.77541379,,,96.99272912,93.89989531,96.87524752,
"Bahamas, The",BHS,"School enrollment, primary (% gross)",SE.PRM.ENRR,,,,,,,,,,,,105.0701218,101.3131027,94.70822144,93.84812927,93.32569122,92.59951782,93.00591278,94.34485626,94.47663116,94.72557068,99.10111237,100.0765381,101.6525116,96.56632233,105.3990021,106.3179703,,,,107.1454163,106.2922363,106.6500473,106.7478714,102.9995117,100.293251,101.4429474,96.49571991,94.31067657,91.07575989,,,89.14206696,,96.13796234,101.0748596,100.1365967,105.7998734,107.2816162,103.598381,102.4823551,110.1357493,103.6773823,94.64044438,94.38821078,96.2606649,90.41172654,,88.55007653,91.93754565,,80.52371216,,78.39319344,92.8566482,
Bosnia and Herzegovina,BIH,"School enrollment, primary (% gross)",SE.PRM.ENRR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,108.7967834,106.6223984,108.0949707,88.70707703,89.09854126,89.20941925,89.48696136,91.22444153,94.6954422,96.13863373,98.24359894,99.71658325,100.9297104,100.2639313,101.1686172,101.6045074,101.1948776,,
Belarus,BLR,"School enrollment, primary (% gross)",SE.PRM.ENRR,,,,,,,,,,,,100.9662399,100.8886795,101.2921219,100.5849075,100.6111298,100.1843109,100.2000732,99.57019043,99.86897278,101.3392105,103.4678421,104.6133804,105.9333878,107.1800232,108.239418,108.5548325,94.07347107,94.19138336,93.62055969,92.72276306,94.51293182,93.85769653,94.06590271,95.1763916,95.75000763,96.64990234,99.76741791,103.214653,115.2672577,117.4211426,117.4928818,114.6212616,105.3656311,103.9798203,102.1263275,101.2829208,99.83733368,99.81018829,100.7568436,100.7788052,100.9273998,100.1035809,99.40241271,98.81962978,98.47247841,99.4165601,98.99113528,98.22608312,97.04942731,95.52501483,95.52664375,95.43071493,95.2183631,96.82240301,
Belize,BLZ,"School enrollment, primary (% gross)",SE.PRM.ENRR,,,,,,,,,,,,104.9107666,103.3214264,104.1412201,105.6019897,,109.3470612,114.5632706,118.8495026,,124.7153473,122.2139587,119.0905304,115.4227295,116.0137787,112.6481094,106.1490631,107.2699738,107.7389984,108.3632126,111.60569,114.8436127,115.6935425,117.5870972,119.9964523,120.4507065,121.8620911,118.8558884,,116.884491,117.0346832,117.0841522,113.5968475,118.811058,120.6025696,120.297348,119.8663864,117.7733383,115.3039322,114.5453415,112.9464765,112.2759242,115.2225781,113.5240769,112.8288617,113.6025482,116.0840247,115.6299805,114.9052717,114.4583513,112.2514301,107.3372701,101.5313731,97.78744616,96.48192459,
Bermuda,BMU,"School enrollment, primary (% gross)",SE.PRM.ENRR,,,,,,,,,,,,105.4396591,103.6373367,100.9965897,100.5739136,99.69741058,101.6422806,103.2630768,104.7634506,99.30034637,101.7681122,102.3103409,103.0127869,102.8070831,101.1153793,101.1240234,,,,,,,,,,107.6950912,,120.3313599,,,,103.5497971,102.9350128,103.2374115,102.2751389,100.932991,99.3839035,,,,106.1713715,103.8709717,101.2488022,99.56522369,100.5641403,102.6739273,,,,,,,,92.85124969,,
Bolivia,BOL,"School enrollment, primary (% gross)",SE.PRM.ENRR,,,,,,,,,,,87.99772644,87.42926788,88.7772522,91.0667038,92.92801666,97.02420807,98.99291229,96.01329803,96.91130829,98.43061829,97.34633636,98.9312973,,101.2573929,106.5862503,,103.9854889,110.2066193,,99.15592194,101.0918198,102.5546875,102.8186493,103.8930588,106.189003,108.6329193,109.9200974,111.1844482,111.9848709,113.8433304,119.1320724,118.0607834,118.5434723,116.6771927,115.9558105,115.1993713,113.5616379,112.7677231,111.6500626,108.0312424,104.3963702,100.9218491,98.31292531,96.89047363,95.46547008,95.09619399,95.53876593,96.44750438,97.12272219,97.67147416,98.23694861,98.46942284,99.19608789,98.57268946,93.676651,
Brazil,BRA,"School enrollment, primary (% gross)",SE.PRM.ENRR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,104.054451,109.2824326,109.8089066,108.740181,108.5836563,109.7887497,108.7200089,107.682991,105.9122314,103.9293976,104.6674194,,104.2969131,
